pattern,type
Duration:\s*(?P<duration>.+),duration
Period:\s*(?P<period>.+),period
Tenure:\s*(?P<tenure>.+),tenure
(?P<start>Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)[.,]?\s*(?P<start_year>\d{4})\s*[-–—]\s*(?P<end>Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec|present|current)[.,]?\s*(?P<end_year>\d{4})?,date_range_abbr
\((?P<start>\d{4})\s*[-–—]\s*(?P<end>\d{4}|present|current)\),date_range_parens
\b(?P<year>\d{4})\b,single_year
[Ss]ince\s+(?P<start>\d{4}|\w+\s+\d{4}),date_since
(?P<start>\d{4})\s+to\s+(?P<end>present|current|now|\d{4}),date_to
[Ff]or\s+(?P<duration>\d+(?:\.\d+)?)\s+(?P<unit>years?|months?|weeks?),duration_span
(?P<company>.+?)\s*\|\s*(?P<title>.+?)\s*\|\s*(?P<date>.+),mixed_pipe_3
(?P<title>.+?)\s*\|\s*(?P<company>.+?)\s*\|\s*(?P<date>.+),mixed_pipe_title_first
(?P<company>.+?)\s*\|\s*(?P<title>.+?)\s*\|\s*(?P<location>.+?)\s*\|\s*(?P<date>.+),mixed_pipe_4
(?P<title>.+?)\s*\|\s*(?P<company>.+?)\s*\|\s*(?P<location>.+?)\s*\|\s*(?P<date>.+),mixed_pipe_4_title_first
(?P<company>.+?)\s*—\s*(?P<title>.+?)\s*—\s*(?P<date>.+),mixed_dash_3
(?P<company>.+?)\s*,\s*(?P<title>.+?)\s*,\s*(?P<date>.+),mixed_comma_3
(?P<title>.+?)\s*,\s*(?P<company>.+?)\s*,\s*(?P<location>.+),mixed_comma_title_first
(?P<company>.+?)\s*::\s*(?P<title>.+?)\s*::\s*(?P<date>.+),mixed_doublecolon
(?P<title>.+?)\s+@\s+(?P<company>.+?)\s*\|\s*(?P<date>.+),mixed_at_pipe
(?P<title>.+?)\s+@\s+(?P<company>.+?)\s*,\s*(?P<location>.+),mixed_at_comma
(?P<title>.+?)\s+[-–]\s+(?P<company>.+?)\s*\|\s*(?P<date>.+),mixed_dash_pipe
(?P<company>.+?)\s*\(\s*(?P<date>.+?)\s*\)\s*[-–:]\s*(?P<title>.+),mixed_company_date_title
(?P<title>.+?)\s*\(\s*(?P<date>.+?)\s*\)\s*[-–@]\s*(?P<company>.+),mixed_title_date_company
(?P<title>.+?)\s*,\s*(?P<company>.+?)\s*,\s*(?P<location>.+?)\s*,\s*(?P<date>.+),mixed_comma_4
(?P<company>.+?)\s*;\s*(?P<title>.+?)\s*;\s*(?P<date>.+),mixed_semicolon
(?P<title>.+?)\s+at\s+(?P<company>.+),title_at_company
(?P<title>.+?)\s+@\s+(?P<company>.+),title_at_symbol_company
(?P<title>.+?)\s+in\s+(?P<company>.+?)\s*,\s*(?P<location>.+),title_in_company_location
(?P<title>.+?)\s+for\s+(?P<company>.+),title_for_company
(?P<title>.+?)\s+with\s+(?P<company>.+),title_with_company
(?P<title>.+?)\s+under\s+(?P<company>.+),title_under_company
(?P<title>.+?)\s+within\s+(?P<company>.+),title_within_company
(?P<title>.+?),\s*(?P<company>.+?),\s*(?P<location>.+),title_company_location
(?P<title>.+?)\s*[-–]\s*(?P<company>.+?)\s*[-–]\s*(?P<location>.+),title_company_location_dashes
(?P<company>.+?)\s*[-–—]\s*(?P<title>.+),company_title
(?P<company>.+?)\s*:\s*(?P<title>.+),company_colon_title
(?P<company>.+?)\s*\|\s*(?P<title>.+),company_pipe_title
(?P<company>.+?)\s*,\s*(?P<title>.+),company_comma_title
(?P<company>.+?)\s*::\s*(?P<title>.+),company_doublecolon_title
(?P<company>.+?)\s*\/\s*(?P<title>.+),company_slash_title
(?P<company>.+?)\s*>\s*(?P<title>.+),company_arrow_title
(?P<title>.+?)\s*[-–—]\s*(?P<company>.+),title_dash_company
(?P<title>.+?)\s*\(\s*(?P<start>\d{4})\s*[-–—]\s*(?P<end>\d{4}|present|current)\s*\),title_date_parens
(?P<title>.+?)\s*,\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present|current),title_comma_date
(?P<title>.+?)\s*\|\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present|current),title_pipe_date
(?P<company>.+?)\s*\(\s*(?P<start>\d{4})\s*[-–—]\s*(?P<end>\d{4}|present|current)\s*\),company_date_parens
(?P<company>.+?)\s*,\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present|current),company_comma_date
(?P<company>.+?)\s*\|\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present|current),company_pipe_date
(?P<title>.+?)\s+at\s+(?P<company>.+?)\s*,\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present|current),title_at_company_date
(?P<title>.+?)\s+at\s+(?P<company>.+?)\s*\|\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present|current),title_at_company_pipe_date
(?P<title>.+?)\s+@\s+(?P<company>.+?)\s*\(\s*(?P<start>\d{4})\s*[-–—]\s*(?P<end>\d{4}|present)\s*\),title_at_company_parens_date
(?P<company>.+?)\s*[-–—]\s*(?P<title>.+?)\s*[-–—]\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present),company_title_date_dashes
(?P<company>.+?)\s*\|\s*(?P<title>.+?)\s*\|\s*(?P<start>\d{4})\s*[-–—]\s*(?P<end>\d{4}|present),company_title_year_pipe
(?P<title>.+?)\s+at\s+(?P<company>.+?),\s*(?P<location>.+?)\s*\|\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present),title_company_location_date
(?P<company>.+?)\s*\|\s*(?P<title>.+?)\s*\|\s*(?P<location>.+?)\s*\|\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present),full_pipe_4
(?P<title>.+?),\s*(?P<company>.+?),\s*(?P<location>.+?),\s*(?P<start>\w+\s+\d{4})\s*[-–—]\s*(?P<end>\w+\s+\d{4}|present),full_comma_4
Employment\s+Type:\s*(?P<employment_type>.+),employment_type
Contract\s+Type:\s*(?P<contract_type>.+),contract_type
Work\s+Type:\s*(?P<work_type>.+),work_type
Engagement:\s*(?P<engagement_type>.+),engagement_type
(?P<employment_type>Full.?[Tt]ime|Part.?[Tt]ime|Contract|Freelance|Consultant|Consulting|Temporary|Permanent|Casual|Intern|Internship|Apprentice|Apprenticeship|Volunteer|Pro\s+Bono|Fixed.?[Tt]erm|Seasonal|Zero.?[Hh]ours),employment_type
(?P<employment_type>Self.?[Ee]mployed|Independent\s+Contractor|Sole\s+Trader|Proprietor|Co.?[Ff]ounder|Founder|Partner|Associate|Director|Board\s+Member|Advisor),employment_type_category
Department:\s*(?P<department>.+),department
Team:\s*(?P<team>.+),team
Unit:\s*(?P<unit>.+),unit
Division:\s*(?P<division>.+),division
Branch:\s*(?P<branch>.+),branch
Section:\s*(?P<section>.+),section
Cluster:\s*(?P<cluster>.+),cluster
Practice:\s*(?P<practice>.+),practice
Portfolio:\s*(?P<portfolio>.+),portfolio
Vertical:\s*(?P<vertical>.+),vertical
Segment:\s*(?P<segment>.+),segment
Business\s+Unit:\s*(?P<business_unit>.+),business_unit
Cost\s+Centre:\s*(?P<cost_centre>.+),cost_centre
Reporting\s+To:\s*(?P<reporting_to>.+),reporting_to
Reports\s+To:\s*(?P<reports_to>.+),reporting_to
Managed\s+By:\s*(?P<manager>.+),manager
Salary:\s*(?P<salary>.+),salary
CTC:\s*(?P<ctc>.+),salary_ctc
Compensation:\s*(?P<compensation>.+),compensation
Remuneration:\s*(?P<remuneration>.+),compensation
Package:\s*(?P<package>.+),compensation_package
Annual\s+Salary:\s*(?P<annual_salary>.+),salary_annual
Monthly\s+Salary:\s*(?P<monthly_salary>.+),salary_monthly
Hourly\s+Rate:\s*(?P<hourly_rate>.+),salary_hourly
Pay:\s*(?P<pay>.+),salary
Wages:\s*(?P<wages>.+),salary
Stipend:\s*(?P<stipend>.+),stipend
(?P<currency>[$£€₹¥₩₦₨R])\s*(?P<amount>[\d,]+(?:\.\d{2})?)\s*(?P<period>per\s+(?:annum|year|month|hour|day)|p\.a\.|p\.m\.)?/?(?P<unit>yr|year|mo|month|hr|hour|day)?,salary_inline
(?P<amount>[\d,]+(?:\.\d{2})?)\s*(?P<currency>USD|EUR|GBP|INR|AUD|CAD|SGD|AED|SAR|ZAR|NGN|KES|JPY|CNY|CHF|SEK|NOK|DKK|MXN|BRL|PKR|BDT|LKR|PHP|VND|THB|IDR|MYR|HKD|NZD),salary_currency_code
Responsibilities:\s*(?P<responsibilities>.+),responsibilities
Duties:\s*(?P<duties>.+),duties
Accountabilities:\s*(?P<accountabilities>.+),accountabilities
Key\s+Responsibilities:\s*(?P<key_responsibilities>.+),responsibilities_key
Role\s+Summary:\s*(?P<role_summary>.+),role_summary
Job\s+Description:\s*(?P<job_description>.+),job_description
Scope:\s*(?P<scope>.+),scope
Objectives:\s*(?P<objectives>.+),objectives
Achievements:\s*(?P<achievements>.+),achievements
Accomplishments:\s*(?P<accomplishments>.+),achievements
Key\s+Achievements:\s*(?P<key_achievements>.+),achievements_key
Highlights:\s*(?P<highlights>.+),highlights
Milestones:\s*(?P<milestones>.+),milestones
Deliverables:\s*(?P<deliverables>.+),deliverables
Impact:\s*(?P<impact>.+),impact
Outcomes:\s*(?P<outcomes>.+),outcomes
Results:\s*(?P<results>.+),results
Contributions:\s*(?P<contributions>.+),contributions
Key\s+Projects:\s*(?P<key_projects>.+),projects_key
^[\u2022\u2023\u25E6\u2043\u2219*\-]\s+(?P<bullet_point>.+),bullet_point
^\d+\.\s+(?P<numbered_point>.+),numbered_point
(?P<achievement>.+?)\s+(?:by|of|to|from)\s+(?P<value>\d+(?:\.\d+)?(?:x|%|X)?),quantified_achievement
[Ii]ncreased\s+(?P<metric>.+?)\s+by\s+(?P<value>\d+(?:\.\d+)?%?),achievement_increase
[Rr]educed\s+(?P<metric>.+?)\s+by\s+(?P<value>\d+(?:\.\d+)?%?),achievement_reduction
[Mm]anaged\s+(?:a\s+)?(?:team\s+of\s+)?(?P<team_size>\d+),team_size
[Ll]ed\s+(?:a\s+)?(?:team\s+of\s+)?(?P<team_size>\d+),team_size_led
[Ss]upervised\s+(?P<team_size>\d+),team_size_supervised
Skills:\s*(?P<skills>.+),skills
Technical\s+Skills:\s*(?P<technical_skills>.+),skills_technical
Soft\s+Skills:\s*(?P<soft_skills>.+),skills_soft
Core\s+Skills:\s*(?P<core_skills>.+),skills_core
Key\s+Skills:\s*(?P<key_skills>.+),skills_key
Competencies:\s*(?P<competencies>.+),competencies
Core\s+Competencies:\s*(?P<core_competencies>.+),competencies_core
Expertise:\s*(?P<expertise>.+),expertise
Areas\s+of\s+Expertise:\s*(?P<areas_of_expertise>.+),expertise_areas
Specialization:\s*(?P<specialization>.+),specialization
Specialisation:\s*(?P<specialisation>.+),specialization
Proficiencies:\s*(?P<proficiencies>.+),proficiencies
Tools:\s*(?P<tools>.+),tools
Technologies:\s*(?P<technologies>.+),technologies
Tech\s+Stack:\s*(?P<tech_stack>.+),tech_stack
Stack:\s*(?P<stack>.+),tech_stack
Frameworks:\s*(?P<frameworks>.+),frameworks
Programming\s+Languages:\s*(?P<programming_languages>.+),languages_programming
Languages\s+Known:\s*(?P<languages_known>.+),languages_programming
Platforms:\s*(?P<platforms>.+),platforms
Software:\s*(?P<software>.+),software
Databases:\s*(?P<databases>.+),databases
Cloud\s+Platforms:\s*(?P<cloud_platforms>.+),cloud_platforms
Operating\s+Systems:\s*(?P<operating_systems>.+),operating_systems
Version\s+Control:\s*(?P<version_control>.+),version_control
Methodologies:\s*(?P<methodologies>.+),methodologies
Domain\s+Knowledge:\s*(?P<domain_knowledge>.+),domain_knowledge
Industry\s+Knowledge:\s*(?P<industry_knowledge>.+),industry_knowledge
Education:\s*(?P<education>.+),education
Qualification:\s*(?P<qualification>.+),qualification
Degree:\s*(?P<degree>.+),degree
Major:\s*(?P<major>.+),major
Minor:\s*(?P<minor>.+),minor
Field\s+of\s+Study:\s*(?P<field_of_study>.+),field_of_study
Discipline:\s*(?P<discipline>.+),discipline
University:\s*(?P<university>.+),university
College:\s*(?P<college>.+),college
School:\s*(?P<school>.+),school
Academy:\s*(?P<academy>.+),academy
Campus:\s*(?P<campus>.+),campus
CGPA:\s*(?P<cgpa>[\d.]+(?:\s*/\s*[\d.]+)?),cgpa
GPA:\s*(?P<gpa>[\d.]+(?:\s*/\s*[\d.]+)?),gpa
Percentage:\s*(?P<percentage>[\d.]+\s*%?),percentage
Grade:\s*(?P<grade>.+),grade
Class:\s*(?P<class>First|Second|Third|Pass|Distinction|Merit|Honors|Honours),class
Division:\s*(?P<division>First|Second|Third|Pass|Distinction),division
Thesis:\s*(?P<thesis>.+),thesis
Dissertation:\s*(?P<dissertation>.+),dissertation
Research\s+Area:\s*(?P<research_area>.+),research_area
Supervisor:\s*(?P<supervisor>.+),supervisor
Advisor:\s*(?P<advisor>.+),advisor
(?P<degree>[A-Z][A-Za-z.]+(?:\s+of\s+[A-Za-z\s]+)?)\s+(?:from|at|@)\s+(?P<institution>.+),degree_from_institution
(?P<degree>[A-Z][A-Za-z.]+(?:\s+of\s+[A-Za-z\s]+)?)\s*,\s*(?P<institution>.+?)\s*,\s*(?P<year>\d{4}),degree_institution_year
(?P<institution>.+?)\s*[-–|]\s*(?P<degree>.+?)\s*[-–|]\s*(?P<year>\d{4}),institution_degree_year
GPA\s*:\s*(?P<gpa>[\d.]+)\s*/\s*(?P<scale>[\d.]+),gpa_scaled
(?P<percentage>\d{1,3}(?:\.\d+)?)\s*%,percentage_inline
(?P<distinction>First\s+Class|Second\s+Class\s+Upper|Second\s+Class\s+Lower|Third\s+Class|Pass|Distinction|Merit|High\s+Distinction|Credit),academic_distinction
Certification:\s*(?P<certification>.+),certification
Certificate:\s*(?P<certificate>.+),certificate
Certified\s+in:\s*(?P<certified_in>.+),certification
Credential:\s*(?P<credential>.+),credential
Licence:\s*(?P<licence>.+),licence
License:\s*(?P<license>.+),licence
Accreditation:\s*(?P<accreditation>.+),accreditation
Professional\s+Development:\s*(?P<professional_development>.+),professional_development
Training:\s*(?P<training>.+),training
Course:\s*(?P<course>.+),course
Issued\s+by:\s*(?P<issuer>.+),cert_issuer
Issuing\s+Authority:\s*(?P<issuing_authority>.+),cert_issuer
Valid\s+Until:\s*(?P<valid_until>.+),cert_expiry
Expiry:\s*(?P<expiry>.+),cert_expiry
Credential\s+ID:\s*(?P<credential_id>.+),cert_id
(?:Certified|Licensed|Registered|Accredited|Chartered)\s+(?P<cert_title>[A-Z].+),cert_title_inline
(?P<certification>.+?)\s*[-–(]\s*(?P<year>\d{4})\s*[)-]?,cert_with_year
(?P<certification>.+?),\s*(?P<issuer>.+?),\s*(?P<year>\d{4}),cert_issuer_year
Project:\s*(?P<project>.+),project
Project\s+Name:\s*(?P<project_name>.+),project_name
Project\s+Title:\s*(?P<project_title>.+),project_name
Client\s+Project:\s*(?P<client_project>.+),project_client
Project\s+Description:\s*(?P<project_description>.+),project_description
Project\s+Role:\s*(?P<project_role>.+),project_role
Technologies\s+Used:\s*(?P<technologies_used>.+),project_technologies
Tools\s+Used:\s*(?P<tools_used>.+),project_tools
Team\s+Size:\s*(?P<team_size>.+),project_team_size
Project\s+Duration:\s*(?P<project_duration>.+),project_duration
Project\s+Value:\s*(?P<project_value>.+),project_value
Project\s+Budget:\s*(?P<project_budget>.+),project_budget
Project\s+URL:\s*(?P<project_url>.+),project_url
GitHub:\s*(?P<github>.+),github
Repository:\s*(?P<repository>.+),repository
Name:\s*(?P<full_name>.+),name
Full\s+Name:\s*(?P<full_name>.+),name_full
First\s+Name:\s*(?P<first_name>.+),name_first
Last\s+Name:\s*(?P<last_name>.+),name_last
Middle\s+Name:\s*(?P<middle_name>.+),name_middle
Preferred\s+Name:\s*(?P<preferred_name>.+),name_preferred
Email:\s*(?P<email>[a-zA-Z0-9._%+\-]+@[a-zA-Z0-9.\-]+\.[a-zA-Z]{2,}),email
Email\s+Address:\s*(?P<email>[a-zA-Z0-9._%+\-]+@[a-zA-Z0-9.\-]+\.[a-zA-Z]{2,}),email
Phone:\s*(?P<phone>[\+\d\s\-().]{7,20}),phone
Mobile:\s*(?P<mobile>[\+\d\s\-().]{7,20}),phone_mobile
Cell:\s*(?P<cell>[\+\d\s\-().]{7,20}),phone_cell
Tel:\s*(?P<tel>[\+\d\s\-().]{7,20}),phone_tel
(?P<email>[a-zA-Z0-9._%+\-]+@[a-zA-Z0-9.\-]+\.[a-zA-Z]{2,}),email_inline
(?P<phone>\+\d{1,3}[\s\-]?\(?\d{1,4}\)?[\s\-]?\d{3,4}[\s\-]?\d{3,4}),phone_international
Date\s+of\s+Birth:\s*(?P<dob>.+),dob
DOB:\s*(?P<dob>.+),dob
Age:\s*(?P<age>\d+),age
Gender:\s*(?P<gender>.+),gender
Nationality:\s*(?P<nationality>.+),nationality
Citizenship:\s*(?P<citizenship>.+),citizenship
Passport\s+Number:\s*(?P<passport>.+),passport
National\s+ID:\s*(?P<national_id>.+),national_id
Marital\s+Status:\s*(?P<marital_status>.+),marital_status
Religion:\s*(?P<religion>.+),religion
Languages\s+Spoken:\s*(?P<languages_spoken>.+),languages_spoken
LinkedIn:\s*(?P<linkedin>.+),linkedin
Portfolio:\s*(?P<portfolio>.+),portfolio
Website:\s*(?P<website>.+),website
Blog:\s*(?P<blog>.+),website_blog
GitHub:\s*(?P<github>.+),github
GitLab:\s*(?P<gitlab>.+),gitlab
Twitter:\s*(?P<twitter>.+),twitter
Instagram:\s*(?P<instagram>.+),instagram
Behance:\s*(?P<behance>.+),behance
Dribbble:\s*(?P<dribbble>.+),dribbble
Stack\s+Overflow:\s*(?P<stackoverflow>.+),stackoverflow
Kaggle:\s*(?P<kaggle>.+),kaggle
ResearchGate:\s*(?P<researchgate>.+),researchgate
ORCID:\s*(?P<orcid>.+),orcid
Google\s+Scholar:\s*(?P<google_scholar>.+),google_scholar
Skype:\s*(?P<skype>.+),skype
WhatsApp:\s*(?P<whatsapp>.+),whatsapp
(?P<url>https?://(?:www\.)?linkedin\.com/in/[A-Za-z0-9\-_%]+/?),linkedin_url
(?P<url>https?://(?:www\.)?github\.com/[A-Za-z0-9\-_]+/?),github_url
(?P<url>https?://[A-Za-z0-9.\-]+\.[a-zA-Z]{2,}(?:/[^\s]*)?),url_generic
Reference:\s*(?P<reference>.+),reference
Referee:\s*(?P<referee>.+),referee
References\s+Available\s+on\s+Request,references_on_request
Reference\s+Name:\s*(?P<ref_name>.+),reference_name
Reference\s+Contact:\s*(?P<ref_contact>.+),reference_contact
Reference\s+Relationship:\s*(?P<ref_relationship>.+),reference_relationship
Award:\s*(?P<award>.+),award
Recognition:\s*(?P<recognition>.+),recognition
Honour:\s*(?P<honour>.+),award_honour
Honor:\s*(?P<honor>.+),award_honour
Prize:\s*(?P<prize>.+),award_prize
Scholarship:\s*(?P<scholarship>.+),scholarship
Fellowship:\s*(?P<fellowship>.+),fellowship
Grant:\s*(?P<grant>.+),grant
Medal:\s*(?P<medal>.+),award_medal
Nomination:\s*(?P<nomination>.+),nomination
(?P<award>.+?)\s*,\s*(?P<year>\d{4}),award_year
(?P<award>.+?)\s*\(\s*(?P<year>\d{4})\s*\),award_year_parens
(?P<award>.+?)\s*[-–]\s*(?P<year>\d{4}),award_year_dash
Publication:\s*(?P<publication>.+),publication
Paper:\s*(?P<paper>.+),publication_paper
Journal:\s*(?P<journal>.+),publication_journal
Conference:\s*(?P<conference>.+),publication_conference
Book:\s*(?P<book>.+),publication_book
Book\s+Chapter:\s*(?P<book_chapter>.+),publication_book_chapter
Patent:\s*(?P<patent>.+),patent
Patent\s+Number:\s*(?P<patent_number>.+),patent_number
DOI:\s*(?P<doi>.+),doi
ISSN:\s*(?P<issn>.+),issn
ISBN:\s*(?P<isbn>.+),isbn
Citations:\s*(?P<citations>\d+),citations
H.index:\s*(?P<h_index>\d+),h_index
Impact\s+Factor:\s*(?P<impact_factor>[\d.]+),impact_factor
(?P<authors>[A-Z][a-z]+(?:,\s*[A-Z][a-z]+)+)\s*\(\s*(?P<year>\d{4})\s*\)\.\s*(?P<title>.+),publication_apa
Volunteer:\s*(?P<volunteer>.+),volunteer
Community\s+Service:\s*(?P<community_service>.+),community_service
Extracurricular:\s*(?P<extracurricular>.+),extracurricular
Activities:\s*(?P<activities>.+),activities
Clubs:\s*(?P<clubs>.+),clubs
Society:\s*(?P<society>.+),society
Association:\s*(?P<association>.+),association
Committee:\s*(?P<committee>.+),committee
Membership:\s*(?P<membership>.+),membership
Member\s+of:\s*(?P<member_of>.+),membership
Affiliation:\s*(?P<affiliation>.+),affiliation
Sport:\s*(?P<sport>.+),sport
Hobby:\s*(?P<hobby>.+),hobby
Hobbies:\s*(?P<hobbies>.+),hobby
Interest:\s*(?P<interest>.+),interest
Interests:\s*(?P<interests>.+),interest
Native\s+Language:\s*(?P<native_language>.+),language_native
Mother\s+Tongue:\s*(?P<mother_tongue>.+),language_native
First\s+Language:\s*(?P<first_language>.+),language_native
Second\s+Language:\s*(?P<second_language>.+),language_second
(?P<language>[A-Z][a-z]+)\s*[-–:]\s*(?P<proficiency>Native|Fluent|Advanced|Intermediate|Basic|Beginner|Elementary|Professional|Business|Conversational|Limited|A1|A2|B1|B2|C1|C2),language_proficiency_inline
Summary:\s*(?P<summary>.+),summary
Professional\s+Summary:\s*(?P<professional_summary>.+),summary_professional
Career\s+Summary:\s*(?P<career_summary>.+),summary_career
Career\s+Objective:\s*(?P<career_objective>.+),objective_career
Objective:\s*(?P<objective>.+),objective
Profile:\s*(?P<profile>.+),profile
Personal\s+Statement:\s*(?P<personal_statement>.+),personal_statement
About\s+Me:\s*(?P<about_me>.+),about
Bio:\s*(?P<bio>.+),bio
Overview:\s*(?P<overview>.+),overview
Value\s+Proposition:\s*(?P<value_proposition>.+),value_proposition
Career\s+Goals:\s*(?P<career_goals>.+),career_goals
Seeking:\s*(?P<seeking>.+),seeking
Father.s\s+Name:\s*(?P<fathers_name>.+),fathers_name
Mother.s\s+Name:\s*(?P<mothers_name>.+),mothers_name
Blood\s+Group:\s*(?P<blood_group>[ABO]{1,3}[+-]),blood_group
Permanent\s+Address:\s*(?P<permanent_address>.+),address_permanent
Current\s+Address:\s*(?P<current_address>.+),address_current
PIN\s+Code:\s*(?P<pin_code>\d{6}),pin_code
Aadhaar:\s*(?P<aadhaar>\d{4}\s?\d{4}\s?\d{4}),aadhaar
PAN:\s*(?P<pan>[A-Z]{5}\d{4}[A-Z]),pan
Caste:\s*(?P<caste>.+),caste
CTC\s+Expected:\s*(?P<ctc_expected>.+),ctc_expected
Notice\s+Period:\s*(?P<notice_period>.+),notice_period
Total\s+Experience:\s*(?P<total_experience>.+),total_experience
Relevant\s+Experience:\s*(?P<relevant_experience>.+),relevant_experience
